date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:55	15301/15301	---MCZ	200	added ('OK')	text/html	etag:%225372fdc7d2bf9f7c7fa47bade5663e4f-ssl-df%22	https://crypo.netlify.app/landing-page-dark.html	C:/My%20Web%20Sites/crypo/crypo.netlify.app/landing-page-dark.html	(from )
08:44:56	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1577723476-ssl-df	https://crypo.netlify.app/robots.txt		(from )
08:44:56	288/288	---M--	200	added ('OK')	image/png	etag:%22e506bc0f66210af54815cec0c21d432d-ssl%22	https://crypo.netlify.app/assets/img/favicon.png	C:/My%20Web%20Sites/crypo/crypo.netlify.app/assets/img/favicon.png	(from https://crypo.netlify.app/landing-page-dark.html)
08:44:57	39782/39782	---MCZ	200	added ('OK')	text/css	etag:%2244f24bc1cf36e5f9623fdcad0112b074-ssl-df%22	https://crypo.netlify.app/assets/css/style.css	C:/My%20Web%20Sites/crypo/crypo.netlify.app/assets/css/style.css	(from https://crypo.netlify.app/landing-page-dark.html)
08:44:58	65990/65990	---MCZ	200	added ('OK')	text/html	etag:%2208ae6ad2e7adee1d1ffcd57d7e458059-ssl-df%22	https://crypo.netlify.app/exchange-dark.html	C:/My%20Web%20Sites/crypo/crypo.netlify.app/exchange-dark.html	(from https://crypo.netlify.app/landing-page-dark.html)
08:44:58	3605/3605	---MCZ	200	added ('OK')	image/svg+xml	etag:%22f651cf29dc597226149b3feceb7a2059-ssl-df%22	https://crypo.netlify.app/assets/img/logo-light.svg	C:/My%20Web%20Sites/crypo/crypo.netlify.app/assets/img/logo-light.svg	(from https://crypo.netlify.app/landing-page-dark.html)
08:44:59	22828/22828	---MCZ	200	added ('OK')	text/html	etag:%228f76bc531a93007da89878382217aade-ssl-df%22	https://crypo.netlify.app/landing-page-dark-two.html	C:/My%20Web%20Sites/crypo/crypo.netlify.app/landing-page-dark-two.html	(from https://crypo.netlify.app/landing-page-dark.html)
08:45:00	58044/58044	---MCZ	200	added ('OK')	text/html	etag:%226707c5f228c2c3fd5733fd7273c9fde0-ssl-df%22	https://crypo.netlify.app/exchange-dark-live-price.html	C:/My%20Web%20Sites/crypo/crypo.netlify.app/exchange-dark-live-price.html	(from https://crypo.netlify.app/landing-page-dark.html)
08:45:00	59805/59805	---MCZ	200	added ('OK')	text/html	etag:%227174677788b18ba31e74a32d396086c4-ssl-df%22	https://crypo.netlify.app/exchange-dark-ticker.html	C:/My%20Web%20Sites/crypo/crypo.netlify.app/exchange-dark-ticker.html	(from https://crypo.netlify.app/landing-page-dark.html)
08:45:01	71463/71463	---MCZ	200	added ('OK')	text/html	etag:%227a3d2eda6bdbba0b475c2ea8e5ed8786-ssl-df%22	https://crypo.netlify.app/exchange-dark-fluid.html	C:/My%20Web%20Sites/crypo/crypo.netlify.app/exchange-dark-fluid.html	(from https://crypo.netlify.app/landing-page-dark.html)
